ΤΚ,Περιοχή,Ζώνη,"Συνολική κατανάλωση","Ημέρες κατανάλωσης","Μέση ημερήσια κατανάλωση","Πλήθος παροχών","Μήνας κατανάλωσης"
11528,ΑΘΗΝΑ,"Κλάση A",28,1380,0.00,46,01/2021
11528,ΑΜΠΕΛΟΚΗΠΟΙ,"Κλάση A",35,1451,0.00,54,01/2021
11528,ΙΛΙΣΙΑ,"Κλάση Δ","2,883",1610,1.80,87,01/2021
11528,ΧΙΛΤΟΝ,"Κλάση Β","1,632",6591,0.20,220,01/2021
11528,ΧΙΛΤΟΝ,"Κλάση A",258,10689,0.00,358,01/2021
11528,ΙΛΙΣΙΑ,"Κλάση Γ","5,519",8772,0.60,377,01/2021
11528,ΙΛΙΣΙΑ,"Κλάση Β","19,790",83893,0.20,3220,01/2021
11528,ΙΛΙΣΙΑ,"Κλάση A","2,531",92168,0.00,3477,01/2021
11631,ΠΑΓΚΡΑΤΙ,"Κλάση Δ",126,77,1.60,4,01/2021
11631,ΜΕΤΣ,"Κλάση Γ",96,149,0.60,5,01/2021
11631,"ΑΓ. ΔΗΜΗΤΡΙΟΣ","Κλάση Β",46,150,0.30,5,01/2021
11631,"ΑΓ. ΔΗΜΗΤΡΙΟΣ","Κλάση A",5,210,0.00,7,01/2021
11631,"ΝΕΟΣ ΚΟΣΜΟΣ","Κλάση Γ",180,270,0.70,9,01/2021
11631,ΠΑΓΚΡΑΤΙ,"Κλάση Γ",345,556,0.60,23,01/2021
11631,"ΝΕΟΣ ΚΟΣΜΟΣ","Κλάση Β",194,750,0.30,25,01/2021
11631,"ΝΕΟΣ ΚΟΣΜΟΣ","Κλάση A",12,750,0.00,25,01/2021
11631,ΜΕΤΣ,"Κλάση Β",240,1049,0.20,35,01/2021
11631,ΓΟΥΒΑ,"Κλάση Δ","1,476",917,1.60,36,01/2021
11631,ΜΕΤΣ,"Κλάση A",36,1440,0.00,48,01/2021
11631,ΠΑΓΚΡΑΤΙ,"Κλάση A",48,2207,0.00,82,01/2021
11631,ΠΑΓΚΡΑΤΙ,"Κλάση Β",807,3133,0.30,115,01/2021
11631,ΓΟΥΒΑ,"Κλάση Γ","9,706",15576,0.60,570,01/2021
11631,ΓΟΥΒΑ,"Κλάση A","1,708",68760,0.00,2398,01/2021
11631,ΓΟΥΒΑ,"Κλάση Β","25,219",97022,0.30,3448,01/2021
11632,ΑΘΗΝΑ,"Κλάση Δ",78,56,1.40,2,01/2021
11632,"ΠΑΓΚΡΑΤΙ ΣΤΑΔΙΟ","Κλάση Γ",73,126,0.60,5,01/2021
11632,ΠΑΓΚΡΑΤΙ,"Κλάση Δ",689,398,1.70,18,01/2021
11632,ΜΕΤΣ,"Κλάση Γ",316,493,0.60,20,01/2021
11632,ΓΟΥΒΑ,"Κλάση Δ",705,526,1.30,22,01/2021
11632,"ΑΓ. ΑΡΤΕΜΙΟΣ","Κλάση Γ",318,524,0.60,22,01/2021
11632,ΑΘΗΝΑ,"Κλάση Γ",509,820,0.60,35,01/2021
11632,"ΠΑΓΚΡΑΤΙ ΣΤΑΔΙΟ","Κλάση A",53,1865,0.00,71,01/2021
11632,"ΑΓ. ΑΡΤΕΜΙΟΣ","Κλάση A",51,1879,0.00,74,01/2021
11632,"ΠΑΓΚΡΑΤΙ ΣΤΑΔΙΟ","Κλάση Β",630,2591,0.20,97,01/2021
11632,ΑΘΗΝΑ,"Κλάση A",78,3022,0.00,117,01/2021
11632,"ΑΓ. ΑΡΤΕΜΙΟΣ","Κλάση Β",927,3571,0.30,135,01/2021
11632,ΜΕΤΣ,"Κλάση A",101,4204,0.00,159,01/2021
11632,ΑΘΗΝΑ,"Κλάση Β","1,377",5123,0.30,188,01/2021
11632,ΜΕΤΣ,"Κλάση Β","1,573",6140,0.30,229,01/2021
11632,ΠΑΓΚΡΑΤΙ,"Κλάση Γ","3,422",5496,0.60,234,01/2021
11632,ΓΟΥΒΑ,"Κλάση Γ","6,611",10833,0.60,439,01/2021
11632,ΓΟΥΒΑ,"Κλάση A",768,28754,0.00,1070,01/2021
11632,ΠΑΓΚΡΑΤΙ,"Κλάση A",713,28594,0.00,1076,01/2021
11632,ΠΑΓΚΡΑΤΙ,"Κλάση Β","11,054",42711,0.30,1609,01/2021
11632,ΓΟΥΒΑ,"Κλάση Β","15,061",53547,0.30,2034,01/2021
11633,ΑΘΗΝΑ,"Κλάση A",0,58,0.00,2,01/2021
11633,ΠΑΓΚΡΑΤΙ,"Κλάση Ε",896,65,13.80,3,01/2021
11633,"ΠΑΓΚΡΑΤΙ ΣΤΑΔΙΟ","Κλάση Γ",238,358,0.70,14,01/2021
11633,"ΠΑΓΚΡΑΤΙ ΣΤΑΔΙΟ","Κλάση A",29,840,0.00,34,01/2021
11633,"ΠΑΓΚΡΑΤΙ ΣΤΑΔΙΟ","Κλάση Β",334,1248,0.30,50,01/2021
11633,ΠΑΓΚΡΑΤΙ,"Κλάση Δ","2,131",1474,1.40,73,01/2021
11633,ΠΑΓΚΡΑΤΙ,"Κλάση Γ","11,116",17901,0.60,743,01/2021
11633,ΠΑΓΚΡΑΤΙ,"Κλάση A","3,273",141710,0.00,5325,01/2021
11633,ΠΑΓΚΡΑΤΙ,"Κλάση Β","39,181",157813,0.20,6046,01/2021
11634,ΠΑΓΚΡΑΤΙ,"Κλάση Ε",34,6,5.70,2,01/2021
11634,ΑΘΗΝΑ,"Κλάση Δ",98,46,2.10,2,01/2021
11634,"ΠΑΓΚΡΑΤΙ ΧΙΛΤΟΝ","Κλάση Δ",197,112,1.80,4,01/2021
11634,ΧΙΛΤΟΝ,"Κλάση Γ",108,180,0.60,6,01/2021
11634,ΧΙΛΤΟΝ,"Κλάση A",10,390,0.00,13,01/2021
11634,"ΠΑΓΚΡΑΤΙ ΧΙΛΤΟΝ","Κλάση Γ",303,464,0.70,20,01/2021
11634,ΧΙΛΤΟΝ,"Κλάση Β",215,780,0.30,26,01/2021
11634,ΑΘΗΝΑ,"Κλάση Γ",344,544,0.60,27,01/2021
11634,ΠΑΓΚΡΑΤΙ,"Κλάση Δ","2,437",1267,1.90,58,01/2021
11634,"ΠΑΓΚΡΑΤΙ ΧΙΛΤΟΝ","Κλάση A",120,3945,0.00,145,01/2021
11634,ΑΘΗΝΑ,"Κλάση A",122,4792,0.00,188,01/2021
11634,"ΠΑΓΚΡΑΤΙ ΧΙΛΤΟΝ","Κλάση Β","1,269",5253,0.20,200,01/2021
11634,ΑΘΗΝΑ,"Κλάση Β","1,252",5002,0.30,205,01/2021
11634,ΠΑΓΚΡΑΤΙ,"Κλάση Γ","8,205",13121,0.60,553,01/2021
11634,ΠΑΓΚΡΑΤΙ,"Κλάση A","2,667",111066,0.00,4149,01/2021
11634,ΠΑΓΚΡΑΤΙ,"Κλάση Β","30,203",124060,0.20,4761,01/2021
11635,ΓΟΥΒΑ,"Κλάση A",0,58,0.00,2,01/2021
11635,ΑΘΗΝΑ,"Κλάση Δ",88,58,1.50,3,01/2021
11635,"ΠΑΓΚΡΑΤΙ ΣΤΑΔΙΟ","Κλάση Ε","1,170",68,17.20,5,01/2021
11635,ΓΟΥΒΑ,"Κλάση Β",28,145,0.20,5,01/2021
11635,ΠΑΓΚΡΑΤΙ,"Κλάση Ε","1,470",123,12.00,6,01/2021
11635,ΑΘΗΝΑ,"Κλάση Γ",153,244,0.60,11,01/2021
11635,"ΠΑΓΚΡΑΤΙ ΣΤΑΔΙΟ","Κλάση Δ",908,483,1.90,26,01/2021
11635,ΠΑΓΚΡΑΤΙ,"Κλάση Δ","1,077",595,1.80,34,01/2021
11635,ΑΘΗΝΑ,"Κλάση A",41,1565,0.00,59,01/2021
11635,ΑΘΗΝΑ,"Κλάση Β",429,1817,0.20,70,01/2021
11635,"ΠΑΓΚΡΑΤΙ ΣΤΑΔΙΟ","Κλάση Γ","2,895",4560,0.60,199,01/2021
11635,ΠΑΓΚΡΑΤΙ,"Κλάση Γ","5,850",9453,0.60,409,01/2021
11635,"ΠΑΓΚΡΑΤΙ ΣΤΑΔΙΟ","Κλάση Β","9,355",38646,0.20,1498,01/2021
11635,"ΠΑΓΚΡΑΤΙ ΣΤΑΔΙΟ","Κλάση A",920,41139,0.00,1565,01/2021
11635,ΠΑΓΚΡΑΤΙ,"Κλάση A","2,159",86627,0.00,3233,01/2021
11635,ΠΑΓΚΡΑΤΙ,"Κλάση Β","23,791",97151,0.20,3793,01/2021
11636,ΓΟΥΒΑ,"Κλάση Ε",606,60,10.10,2,01/2021
11636,ΚΥΝΟΣΑΡΓΟΥΣ,"Κλάση Δ",108,60,1.80,2,01/2021
11636,ΜΑΚΡΥΓΙΑΝΝΗ,"Κλάση Γ",79,120,0.70,4,01/2021
11636,ΜΕΤΣ,"Κλάση Ε","1,218",92,13.20,5,01/2021
11636,ΓΟΥΒΑ,"Κλάση Δ",339,179,1.90,6,01/2021
11636,ΠΑΓΚΡΑΤΙ,"Κλάση Δ",159,125,1.30,6,01/2021
11636,"ΠΑΓΚΡΑΤΙ ΣΤΑΔΙΟ","Κλάση Δ",319,226,1.40,11,01/2021
11636,ΚΥΝΟΣΑΡΓΟΥΣ,"Κλάση Γ",256,390,0.70,13,01/2021
11636,ΜΑΚΡΥΓΙΑΝΝΗ,"Κλάση A",23,660,0.00,22,01/2021
11636,ΜΑΚΡΥΓΙΑΝΝΗ,"Κλάση Β",198,750,0.30,25,01/2021
11636,ΜΕΤΣ,"Κλάση Δ","1,190",897,1.30,34,01/2021
11636,ΚΥΝΟΣΑΡΓΟΥΣ,"Κλάση A",51,2190,0.00,73,01/2021
11636,ΓΟΥΒΑ,"Κλάση Γ","1,349",2203,0.60,76,01/2021
11636,"ΠΑΓΚΡΑΤΙ ΣΤΑΔΙΟ","Κλάση Γ","1,235",1915,0.60,82,01/2021
11636,ΠΑΓΚΡΑΤΙ,"Κλάση Γ","1,522",2457,0.60,102,01/2021
11636,ΚΥΝΟΣΑΡΓΟΥΣ,"Κλάση Β",835,3120,0.30,104,01/2021
11636,ΜΕΤΣ,"Κλάση Γ","4,660",7394,0.60,254,01/2021
11636,ΓΟΥΒΑ,"Κλάση A",299,11046,0.00,373,01/2021
11636,"ΠΑΓΚΡΑΤΙ ΣΤΑΔΙΟ","Κλάση A",265,10527,0.00,395,01/2021
11636,"ΠΑΓΚΡΑΤΙ ΣΤΑΔΙΟ","Κλάση Β","3,598",13879,0.30,522,01/2021
11636,ΠΑΓΚΡΑΤΙ,"Κλάση A",340,13886,0.00,524,01/2021
11636,ΓΟΥΒΑ,"Κλάση Β","4,157",15951,0.30,540,01/2021
11636,ΠΑΓΚΡΑΤΙ,"Κλάση Β","4,702",18171,0.30,688,01/2021
11636,ΜΕΤΣ,"Κλάση A",746,33640,0.00,1148,01/2021
11636,ΜΕΤΣ,"Κλάση Β","10,827",42664,0.30,1454,01/2021
11741,ΚΟΥΚΑΚΙ,"Κλάση Ε",639,60,10.70,2,01/2021
11741,"ΒΕΙΚΟΥ ΜΑΚΡΥΓΙΑΝΝΗ","Κλάση Δ",105,60,1.80,2,01/2021
11741,"ΒΕΙΚΟΥ ΦΙΛΟΠΑΠΠΟΥ","Κλάση Δ",68,61,1.10,3,01/2021
11741,ΒΕΙΚΟΥ,"Κλάση Δ",171,120,1.40,4,01/2021
11741,ΜΑΚΡΥΓΙΑΝΝΗ,"Κλάση Δ",237,150,1.60,5,01/2021
11741,"ΒΕΙΚΟΥ ΜΑΚΡΥΓΙΑΝΝΗ","Κλάση Γ",140,240,0.60,8,01/2021
11741,ΦΙΛΟΠΑΠΠΟΥ,"Κλάση Δ",570,390,1.50,13,01/2021
11741,ΜΑΚΡΥΓΙΑΝΝΗ,"Κλάση Γ",250,390,0.60,13,01/2021
11741,"ΒΕΙΚΟΥ ΦΙΛΟΠΑΠΠΟΥ","Κλάση Γ",326,510,0.60,17,01/2021
11741,ΚΟΥΚΑΚΙ,"Κλάση Δ",876,511,1.70,18,01/2021
11741,ΜΑΚΡΥΓΙΑΝΝΗ,"Κλάση Β",191,780,0.20,26,01/2021
11741,ΒΕΙΚΟΥ,"Κλάση Γ",912,1470,0.60,49,01/2021
11741,ΜΑΚΡΥΓΙΑΝΝΗ,"Κλάση A",34,1889,0.00,63,01/2021
11741,"ΒΕΙΚΟΥ ΜΑΚΡΥΓΙΑΝΝΗ","Κλάση A",71,3000,0.00,100,01/2021
11741,"ΒΕΙΚΟΥ ΦΙΛΟΠΑΠΠΟΥ","Κλάση A",104,3540,0.00,119,01/2021
11741,"ΒΕΙΚΟΥ ΜΑΚΡΥΓΙΑΝΝΗ","Κλάση Β","1,054",4080,0.30,136,01/2021
11741,"ΒΕΙΚΟΥ ΦΙΛΟΠΑΠΠΟΥ","Κλάση Β","1,303",4890,0.30,163,01/2021
11741,ΚΟΥΚΑΚΙ,"Κλάση Γ","3,554",5700,0.60,190,01/2021
11741,ΦΙΛΟΠΑΠΠΟΥ,"Κλάση Γ","4,800",7530,0.60,251,01/2021
11741,ΒΕΙΚΟΥ,"Κλάση A",355,12210,0.00,407,01/2021
11741,ΒΕΙΚΟΥ,"Κλάση Β","3,480",14369,0.20,479,01/2021
11741,ΦΙΛΟΠΑΠΠΟΥ,"Κλάση A",996,38519,0.00,1284,01/2021
11741,ΦΙΛΟΠΑΠΠΟΥ,"Κλάση Β","12,208",48210,0.30,1607,01/2021
11741,ΚΟΥΚΑΚΙ,"Κλάση A","1,349",52921,0.00,1767,01/2021
11741,ΚΟΥΚΑΚΙ,"Κλάση Β","14,619",59278,0.20,1977,01/2021
11742,ΜΑΚΡΥΓΙΑΝΝΗ,"Κλάση Ε",318,31,10.30,2,01/2021
11742,ΒΕΙΚΟΥ,"Κλάση Ε",16,2,8.00,2,01/2021
11742,ΚΟΥΚΑΚΙ,"Κλάση Ε",929,90,10.30,3,01/2021
11742,ΚΟΥΚΑΚΙ,"Κλάση Δ",456,330,1.40,11,01/2021
11742,ΒΕΙΚΟΥ,"Κλάση Δ","1,113",600,1.90,20,01/2021
11742,ΜΑΚΡΥΓΙΑΝΝΗ,"Κλάση Δ","1,593",813,2.00,30,01/2021
11742,ΚΟΥΚΑΚΙ,"Κλάση Γ","1,478",2359,0.60,80,01/2021
11742,ΜΑΚΡΥΓΙΑΝΝΗ,"Κλάση Γ","1,654",2521,0.70,85,01/2021
11742,ΒΕΙΚΟΥ,"Κλάση Γ","3,232",4861,0.70,163,01/2021
11742,ΚΟΥΚΑΚΙ,"Κλάση A",448,16529,0.00,553,01/2021
11742,ΜΑΚΡΥΓΙΑΝΝΗ,"Κλάση Β","4,462",17670,0.30,590,01/2021
11742,ΚΟΥΚΑΚΙ,"Κλάση Β","4,583",18301,0.30,611,01/2021
11742,ΜΑΚΡΥΓΙΑΝΝΗ,"Κλάση A",466,22949,0.00,772,01/2021
11742,ΒΕΙΚΟΥ,"Κλάση Β","8,407",34921,0.20,1165,01/2021
11742,ΒΕΙΚΟΥ,"Κλάση A",935,36000,0.00,1207,01/2021
11743,"ΒΕΙΚΟΥ ΜΑΚΡΥΓΙΑΝΝΗ","Κλάση Δ",164,60,2.70,2,01/2021
11743,ΚΥΝΟΣΑΡΓΟΥΣ,"Κλάση Ε",959,90,10.70,3,01/2021
11743,"ΝΕΟΣ ΚΟΣΜΟΣ","Κλάση Δ",117,90,1.30,3,01/2021
11743,ΜΕΤΣ,"Κλάση Δ",148,130,1.10,5,01/2021
11743,ΜΑΚΡΥΓΙΑΝΝΗ,"Κλάση Δ",461,180,2.60,6,01/2021
11743,"ΚΥΝΟΣΑΡΓΟΥΣ ΝΕΟΣ ΚΟΣΜΟΣ","Κλάση Δ",224,180,1.20,6,01/2021
11743,ΜΑΚΡΥΓΙΑΝΝΗ,"Κλάση Γ",325,480,0.70,16,01/2021
11743,"ΝΕΟΣ ΚΟΣΜΟΣ","Κλάση Γ",309,480,0.60,16,01/2021
11743,ΜΕΤΣ,"Κλάση Γ",324,499,0.60,17,01/2021
11743,"ΚΥΝΟΣΑΡΓΟΥΣ ΝΕΟΣ ΚΟΣΜΟΣ","Κλάση Γ",397,600,0.70,20,01/2021
11743,ΒΕΙΚΟΥ,"Κλάση Γ",365,600,0.60,20,01/2021
11743,"ΒΕΙΚΟΥ ΜΑΚΡΥΓΙΑΝΝΗ","Κλάση Γ",451,690,0.70,23,01/2021
11743,ΓΟΥΒΑ,"Κλάση Γ",657,1050,0.60,35,01/2021
11743,ΚΥΝΟΣΑΡΓΟΥΣ,"Κλάση Δ","1,786",1047,1.70,36,01/2021
11743,"ΝΕΟΣ ΚΟΣΜΟΣ","Κλάση A",63,2010,0.00,67,01/2021
11743,"ΝΕΟΣ ΚΟΣΜΟΣ","Κλάση Β","1,007",3630,0.30,121,01/2021
11743,ΜΑΚΡΥΓΙΑΝΝΗ,"Κλάση Β",841,3816,0.20,133,01/2021
11743,"ΚΥΝΟΣΑΡΓΟΥΣ ΝΕΟΣ ΚΟΣΜΟΣ","Κλάση A",119,4950,0.00,165,01/2021
11743,"ΒΕΙΚΟΥ ΜΑΚΡΥΓΙΑΝΝΗ","Κλάση Β","1,203",5070,0.20,169,01/2021
11743,ΓΟΥΒΑ,"Κλάση A",175,5100,0.00,170,01/2021
11743,"ΚΥΝΟΣΑΡΓΟΥΣ ΝΕΟΣ ΚΟΣΜΟΣ","Κλάση Β","1,305",5159,0.30,172,01/2021
11743,ΜΕΤΣ,"Κλάση Β","1,381",5490,0.30,183,01/2021
11743,ΒΕΙΚΟΥ,"Κλάση Β","1,327",5701,0.20,191,01/2021
11743,ΜΕΤΣ,"Κλάση A",126,6120,0.00,204,01/2021
11743,"ΒΕΙΚΟΥ ΜΑΚΡΥΓΙΑΝΝΗ","Κλάση A",180,6210,0.00,207,01/2021
11743,ΒΕΙΚΟΥ,"Κλάση A",167,6750,0.00,226,01/2021
11743,ΜΑΚΡΥΓΙΑΝΝΗ,"Κλάση A",168,6694,0.00,233,01/2021
11743,ΓΟΥΒΑ,"Κλάση Β","1,939",7290,0.30,243,01/2021
11743,ΚΥΝΟΣΑΡΓΟΥΣ,"Κλάση Γ","12,505",20250,0.60,675,01/2021
11743,ΚΥΝΟΣΑΡΓΟΥΣ,"Κλάση A","2,866",117058,0.00,3903,01/2021
11743,ΚΥΝΟΣΑΡΓΟΥΣ,"Κλάση Β","36,235",143431,0.30,4782,01/2021
11744,"ΑΓ. ΙΩΑΝΝΗΣ","Κλάση Δ",143,60,2.40,2,01/2021
11744,ΓΟΥΒΑ,"Κλάση Δ",84,50,1.70,2,01/2021
11744,ΜΕΤΣ,"Κλάση Γ",34,60,0.60,2,01/2021
11744,"ΚΥΝΟΣΑΡΓΟΥΣ ΝΕΟΣ ΚΟΣΜΟΣ","Κλάση Β",19,60,0.30,2,01/2021
11744,"ΑΓ. ΣΩΣΤΗΣ","Κλάση Δ",104,90,1.20,3,01/2021
11744,ΜΕΤΣ,"Κλάση A",3,150,0.00,5,01/2021
11744,"ΝΕΟΣ ΚΟΣΜΟΣ ΑΓ. ΓΕΩΡΓΙΟΣ","Κλάση Γ",112,180,0.60,6,01/2021
11744,ΓΟΥΒΑ,"Κλάση Γ",105,180,0.60,6,01/2021
11744,"ΑΓ. ΙΩΑΝΝΗΣ","Κλάση Γ",155,240,0.60,8,01/2021
11744,"ΚΥΝΟΣΑΡΓΟΥΣ ΝΕΟΣ ΚΟΣΜΟΣ","Κλάση A",1,270,0.00,9,01/2021
11744,ΑΘΗΝΑ,"Κλάση Γ",224,360,0.60,12,01/2021
11744,"ΑΓ. ΓΕΩΡΓΙΟΣ","Κλάση Δ",603,420,1.40,14,01/2021
11744,"ΑΓ. ΣΩΣΤΗΣ","Κλάση Γ",266,420,0.60,14,01/2021
11744,ΚΥΝΟΣΑΡΓΟΥΣ,"Κλάση Γ",296,480,0.60,16,01/2021
11744,"ΝΕΟΣ ΚΟΣΜΟΣ ΑΓ. ΓΕΩΡΓΙΟΣ","Κλάση A",16,480,0.00,16,01/2021
11744,"ΑΓ. ΙΩΑΝΝΗΣ","Κλάση Β",197,840,0.20,28,01/2021
11744,ΓΟΥΒΑ,"Κλάση A",43,930,0.00,31,01/2021
11744,"ΝΕΟΣ ΚΟΣΜΟΣ","Κλάση Δ","1,704",905,1.90,33,01/2021
11744,"ΝΕΟΣ ΚΟΣΜΟΣ ΑΓ. ΓΕΩΡΓΙΟΣ","Κλάση Β",260,1050,0.20,35,01/2021
11744,"ΑΓ. ΙΩΑΝΝΗΣ","Κλάση A",24,1260,0.00,42,01/2021
11744,ΓΟΥΒΑ,"Κλάση Β",446,1688,0.30,57,01/2021
11744,ΑΘΗΝΑ,"Κλάση A",37,1800,0.00,60,01/2021
11744,ΑΘΗΝΑ,"Κλάση Β",703,2700,0.30,90,01/2021
11744,"ΑΓ. ΣΩΣΤΗΣ","Κλάση A",73,2820,0.00,94,01/2021
11744,ΚΥΝΟΣΑΡΓΟΥΣ,"Κλάση A",70,3090,0.00,103,01/2021
11744,ΚΥΝΟΣΑΡΓΟΥΣ,"Κλάση Β",815,3120,0.30,104,01/2021
11744,"ΑΓ. ΣΩΣΤΗΣ","Κλάση Β",981,3360,0.30,112,01/2021
11744,"ΑΓ. ΓΕΩΡΓΙΟΣ","Κλάση Γ","6,027",9840,0.60,328,01/2021
11744,"ΝΕΟΣ ΚΟΣΜΟΣ","Κλάση Γ","9,465",15180,0.60,509,01/2021
11744,"ΑΓ. ΓΕΩΡΓΙΟΣ","Κλάση A","1,027",37858,0.00,1263,01/2021
11744,"ΑΓ. ΓΕΩΡΓΙΟΣ","Κλάση Β","15,877",60178,0.30,2006,01/2021
11744,"ΝΕΟΣ ΚΟΣΜΟΣ","Κλάση A","1,867",69361,0.00,2316,01/2021
11744,"ΝΕΟΣ ΚΟΣΜΟΣ","Κλάση Β","26,207",100132,0.30,3338,01/2021
11745,ΚΥΝΟΣΑΡΓΟΥΣ,"Κλάση Δ",68,60,1.10,2,01/2021
11745,"ΒΕΙΚΟΥ ΜΑΚΡΥΓΙΑΝΝΗ","Κλάση Γ",35,60,0.60,2,01/2021
11745,ΒΕΙΚΟΥ,"Κλάση Δ",131,90,1.50,3,01/2021
11745,"ΚΥΝΟΣΑΡΓΟΥΣ ΝΕΟΣ ΚΟΣΜΟΣ","Κλάση Γ",60,90,0.70,3,01/2021
